Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Impact of community participation on sustainable development of marine protected areas: Assessment of ecotourism development,"Rahman, MK; Masud, MM; Akhtar, R; Hossain, MM","This study aims to investigate the role of community participation and its impact on economic, environmental, and social sustainability in marine protected areas (MPAs) in Malaysia through the development of ecotourism. A structured questionnaire was employed for collecting data and analyzed using the partial least square method. The results indicate that community participation explains a significant amount of variance in ecotourism development. The findings reveal that ecotourism development contributes toward economic, social, and environmental sustainability directly and indirectly. This implies that ecotourism development and community participation are of paramount importance in achieving sustainable development in MPAs.",2022,,INTERNATIONAL JOURNAL OF TOURISM RESEARCH,24,1,33-43,WOS:000667169900001,10.1002/jtr.2480,,#19201,Rahman 2022,,
California dreaming: Challenges posed by transposing science-based marine protected area planning processes in different political contexts,"De Santo, EM","In response to direct and indirect pressures on the marine environment posed by increased development and climate change, the international community has been planning and implementing networks of Marine Protected Areas (MPAs) in national waters. This paper critically assesses the role of evidence in marine conservation planning in the United Kingdom (UK), a process that drew heavily on the example set by California's Marine Life Protection Act (MLPA) planning process. Whereas a science advisory panel played a constructive role and facilitated MPA planning in the Californian context, the outcome in the UK was quite different; evidence became a sticking point hampering the process. The actual designation of sites in the UK has been slower than expected, and none of the Reference Areas (i.e., no-take MPAs) proposed by stakeholder-led consultations have been implemented. Drawing on interviews with participants in the UK process and on theoretical debates surrounding evidence-based decision-making, this paper provides recommendations for effective science-driven marine conservation.",2017,,ENVIRONMENTAL SCIENCE & POLICY,75,,38-46,WOS:000407869500005,10.1016/j.envsci.2017.05.012,,#19206,DeSanto 2017,,
Environmental and human impacts on coastal and marine protected areas in India,"Krishnamoorthy, R; Devasenapathy, J; Thanikachalam, M; Ramachandran, S","The Indian coastline is about 7500 km in length and many ecologically sensitive coastal areas were declared as protected areas (marine biosphere reserves, national parks, wild life sanctuaries, reserve forests, Ramsar sites, etc). Based on the analysis of multidate remote sensing satellite data, the degradation sites within the protected areas have been identified. The study revealed that the remote sensing and GIS technology tools are more suitable to map and monitor the natural resources especially the mangroves and coral reefs in coastal and marine protected areas with reasonable accuracy in a most cost-effective way. This paper highlights the suitable sensor and techniques to study the protected areas. The major causes (i.e. biophysical and human induced activities) and driving forces for ecosystem degradation were analysed using remote sensing data.",2001,,GLOBAL CHANGE AND PROTECTED AREAS,9,,373-392,WOS:000169572400035,,,#19208,Krishnamoorthy 2001,,
Establishing marine protected areas through bottom-up processes: insights from two contrasting initiatives in Chile,"Oyanedel, R; Marin, A; Castilla, JC; Gelcich, S","1. Bottom-up participatory processes to create and manage no-take marine protected areas have been proposed as a way to scale-up marine conservation and deal with the lack of support and compliance of top-down conservation approaches. However, bottom-up conservation does not always lead to positive outcomes, thus it is increasingly important to understand the conditions that determine the establishment and implementation of these initiatives. 2. Establishment and implementation processes were compared empirically for two contrasting bottom-up no-take marine protected areas that have been developing under the same political setting, however, one has been successful and the other has stalled. 3. Using mixed methods, stakeholders' (a) motivations to participate in the no-take marine protected area initiatives, (b) communication, support and information flow networks, (c) perceived participation, and (d) satisfaction with the establishment process of the bottom-up no-take marine protected areas, were assessed. 4. Non-significant differences were found between the two initiatives in terms of stakeholders' motivations to create a no-take marine protected area. 5. Significant differences were found in stakeholders' communication, support and information flow networks, in addition to differences in participation, and satisfaction with the establishment and implementation process. 7. Results highlight that for the implementation and consolidation of bottom-up no-take marine protected areas initiatives, common interests do not necessarily lead to common action, partnerships will not emerge automatically in response to potential benefits. 7. Understanding disparities in participation, information sharing and communication are key aspects which must be considered for creating and supporting successful marine protected areas based on bottom-up participatory processes. Copyright (c) 2015 John Wiley & Sons, Ltd.",2016,,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,26,1,184-195,WOS:000369005100014,10.1002/aqc.2546,,#19209,Oyanedel 2016,,
Social Dimensions in Designing and Managing Marine Protected Areas in Bangladesh,"Islam, MM","This study assesses the governance challenges faced by two different types of aquatic protected areas in Bangladesh for fish stocks and elasmobranch and cetacean species. Establishing a network of sanctuaries across six riverine and estuarine zones has yielded positive ecological outcomes in the revitalization of hilsa shad (Tenualosa ilisha) fisheries. The combination of firm political commitment, a meaningful partnership among various government agencies toward more vigorous enforcement, and a compensation scheme has contributed to this success. However, less attention has been given to the sanctuaries' social outcomes leading to underperformance in effectiveness and social equity. The drivers of ecological outcomes for hilsa shad sanctuaries may also be useful for marine megafauna conservation. In addition, fishers' needs, and participation should be considered when developing a management plan for marine protected areas (MPAs). Finally, I argue that to achieve Aichi Target 11 and SDG14 goals, expanding the MPAs' spatial coverage in Bangladesh should be coupled with ensuring effectiveness and social equity.",2021,,HUMAN ECOLOGY,49,2,171-185,WOS:000622650900001,10.1007/s10745-021-00218-z,,#19211,Islam 2021,,
"Overcoming Governance and Institutional Barriers to Integrated Coastal Zone, Marine Protected Area, and Tourism Management in Sri Lanka","Powell, RB; Cuschnir, A; Peiris, P","One of the major barriers to addressing complex social-ecological issues through integrated coastal management (ICM) is a lack of intergovernmental coordination and cooperation (horizontal and vertical fragmentation). This article describes an effort to overcome the barriers to ICM in Sri Lanka by fostering intergovernmental collaboration and initiating adaptive governance to restore one town, Hikkaduwa, and its associated marine protected area (MPA) and coastal zone habitats. Administrators from 12 national and local governmental agencies that are responsible for aspects of coastal management in the town of Hikkaduwa participated in a series of formal and informal workshops and a week-long tour of ICM projects in the Philippines. Outcomes demonstrate that these informal and formal meetings, workshops, and travel experiences fostered trust, social capital, and attitudinal organizational commitment (AOC). The experiences motivated members to overcome vertical and horizontal governance fragmentation through the formation of an independent intergovernmental committee for the restoration of Hikkaduwa into a sustainable and resilient community. ICM activities undertaken by the newly formed organization suggest that internal leadership capacity, effective local-national partnerships, explicitly linked ecological-economic projects, and long-term commitment are necessary conditions for success. Overall, attainment of sustainability and resilience through successful ICM should be thought of as a journey and not a destination.",2009,,COASTAL MANAGEMENT,37,6,633-655,WOS:000272768700008,10.1080/08920750903194272,,#19212,Powell 2009,,
Regional Cooperation in Marine Environmental Protection in the South China Sea: A Reflection on New Directions for Marine Conservation,"Chircop, A","Despite ongoing conflict management and confidence-building efforts in the South China Sea (SCS), there is still no clear path to the resolution of the complex multilateral sovereignty and the maritime boundary disputes. Intergovernmental Panel on Climate Change assessments for the region forecast significant climate and ecological change to the detriment of the region's coastal inhabitants, ecosystems, and economies. SCS states need to place marine conservation cooperation at the center of all development activity in order to enhance the prospects of adaptation to climate change. This article explores and argues for more effective SCS Large Marine Ecosystem cooperation through transboundary networks of marine protected areas.",2010,,OCEAN DEVELOPMENT AND INTERNATIONAL LAW,41,4,334-356,WOS:000284417800002,10.1080/00908320.2010.499300,,#19215,Chircop 2010,,
"""Bottom-up management approach to coastal marine protected areas in Portugal""","Ferreira, A; Seixas, S; Marques, JC","The classification and management of coastal marine protected areas is traditionally implemented without a strong public participation process in its early stage, resulting in conflicts. A bottom-up approach with public participation before defining regulations is an innovative, yet difficult process. The case study presented is a local experience of Avencas Biophysical Interest Zone in Cascais, Portugal. The objective of this paper is to evaluate a new approach, to assess the success of the management action applied in terms of the short-term response from users of the costal marine protected area.Public participation assemblies were conducted to welcome input from the fishing community regarding the new regulation; visual census and interviews directed at different users, were used to assess the short-term effectiveness of the implemented management actions. A new regulation is underway and user management actions have been implemented: visitors' pathways through the rocky platforms and information spots at the entrance to the beach.Positive results point to the success of this approach, as visitors either agreed or respected the various management actions implemented: 84% of them agree with information spots, and 76% agree with the pathways. Recreational fishers are now mostly located outside the protected area, though there are still some who choose to stay inside, which indicates the need to change some points in the regulation, to improve its compliance by the fishing community. The short-term evaluation methodology was effective in detecting changes in usage patterns from users when the bottom-up approach was applied. (C) 2015 Elsevier Ltd. All rights reserved.",2015,,OCEAN & COASTAL MANAGEMENT,118,,275-281,WOS:000367775700016,10.1016/j.ocecoaman.2015.05.008,,#19216,Ferreira 2015,,
Analysis of marine protected area management: The Marine Park of the Azores (Portugal),"Maestro, M; Chica-Ruiz, JA; Perez-Cayeiro, ML","A significant number of declared marine protected areas (MPAs) lack management plans, or they are not being applied appropriately, leading to poor management and, in the worst case scenario, so-called ""paper parks"". Evaluating the management of an MPA helps detect strengths and weaknesses, make decisions and correct mistakes in the future. Unfortunately, few evaluations have been done. In recent decades, management has gone from a traditional governance system to a more inclusive and participatory one that seeks to understand and integrate the interests and needs of all parties. Social actors are participating more actively in decision-making, and their support is fundamental for the success of an MPA. This study analyses the management of the Marine Park of the Azores (Portugal), one of the most emblematic areas of the European Union (EU). For this purpose, a methodology has been developed to evaluate the management of MPAs. It is based on the analysis of four key aspects: managing body, planning, public participation and implementation. For each one, specific indicators have been designed, resulting in five possible scenarios being proposed where priority is given to one or other factors, where each one has consequences on the biophysical and socioeconomic systems of the MPA. These scenarios are defined as: proactive, consultative, centralized, by learning and formal management. The results demonstrate that the Marine Park of the Azores is currently under centralized management, with a sound management body, but yet should be consolidates the process of planning and public participation.",2020,,MARINE POLICY,119,,,WOS:000564689000001,10.1016/j.marpol.2020.104104,,#19217,Maestro 2020,,
Marine protected areas and human well-being - A systematic review and recommendations,"Rasheed, AR","This paper reviews literature relating to Marine Protected Areas (MPAs) and human well-being. It finds that explicit studies on human well-being from MPAs are limited and empirical studies quantifying these relationships are rare. Most MPA papers, including those examining MPA effectiveness, focus on just a few aspects of well-being in the context of a sub-set of stakeholders, and consider only a single type of MPA. They mostly focus on conventional objective measures that are not comprehensive or systematically selected. This review argues for a systematic and integrative framework to ensure future MPA assessments are equipped to capture MPAs' contributions to human well-being more adequately and comprehensively. Such a framework can also allow for cross-MPA comparisons that can capture differences in well-being across different types of MPAs, and information gained can be useful for MPA practitioners and policy makers, particularly in reaching current global targets, such as the CBD, Aichi Target 11.",2020,,ECOSYSTEM SERVICES,41,,,WOS:000509730300008,10.1016/j.ecoser.2019.101048,,#19218,Rasheed 2020,,
"Marine systematic conservation planning for Rodrigues Island, western Indian Ocean","Pasnin, O; Attwood, C; Klaus, R","There is a growing number of Marine Protected Areas (MPAs) that have been selected and designed through participatory processes, following the recognition of the need to increase the involvement of local communities likely to be affected by such developments. In parallel with this shift has been the development of systematic conservation planning (SCP) tools that have increased our capacity to design MPAs to maximise biodiversity outcomes and to scale-up community-based initiatives into more comprehensive MPA networks. In Rodrigues, four Marine Reserves (no-take zones) in the north of the island were identified through participatory processes. A Marine Protected Area (multi-use), South East Marine Protected Area (SEMPA), has also been gazetted in the south of the island through a community based approach. In order to verify and assess gaps in the stakeholder-based design, a Marine Reserve network was designed using the SCP tool Marxan using available spatial data on marine biotopes and fishing effort (FE) to achieve fisheries benefits and marine biodiversity protection. The Marxan analysis identified that only two of the four marine reserves achieve partly the objectives set and SEMPA contains planning units which can be considered as no take zones. This study shows the importance of using both stakeholder's knowledge and scientific input for a better design of MPAs. The results from the analyses can be used by decision makers to inform decisions in a scientific way by providing a set of scenarios from the Marxan analysis. (C) 2016 Elsevier Ltd. All rights reserved.",2016,,OCEAN & COASTAL MANAGEMENT,130,,213-220,WOS:000381837700022,10.1016/j.ocecoaman.2016.06.014,,#19219,Pasnin 2016,,
"Marine Protected Areas in Fiji: a critical assessment of 'Community Fisheries Management and Development Plans' as a mechanism for formalising customary MPAs, in particular LMMAs","Long, E","Fiji's National Government has committed to using Marine Protected Areas (MPAs) to protect its marine environment. As Fiji is in the process of reforming its marine law, now is an opportune time to develop statutory mechanisms for establishing and regulating MPAs. This article considers the regulation of MPAs in Fiji's coastal waters-where the intersection of statutory and customary law poses particular challenges. 'Customary MPAs' already exist in Fiji's coastal environments, taking the form of tabu areas and 'Locally Managed Marine Areas' (LMMAs). Both of these are important mechanisms that any new statutory framework should incorporate and strengthen. In 2010, the draft Inshore Fisheries Decree (draft Inshore Decree) was prepared. Although the draft Inshore Decree appears to have stalled, it may yet be progressed to a final bill. Alternatively, some of the measures in it may be incorporated into another law. This article assesses one mechanism in the draft Inshore Decree that could be used to formalize customary MPAs-Community Fisheries Management and Development Plans (CFMDPs). It finds that CFMDPs demonstrate a number of strengths, in particular by supporting legal recognition of existing marine management measures. However, there are also weaknesses. Nevertheless, with refinement CFMDPs may be a useful tool for regulating Fiji's coastal MPAs.",2018,,ASIA PACIFIC JOURNAL OF ENVIRONMENTAL LAW,21,2,81-100,WOS:000450938500002,10.4337/apjel.2018.02.01,,#19220,Long 2018,,
Marine ecotourism for small pelagics as a source of alternative income generating activities to fisheries in a tropical community,"Cusack, C; Sethi, SA; Rice, AN; Warren, JD; Fujita, R; Ingles, J; Flores, J; Garchitorena, E; Mesa, SV","Widespread overharvest has led to marine ecosystem degradation and declining fishery catches in many tropical communities. To allow stocks to recover and provide increased flows of food and income, reductions in fishing effort are necessary. The development of Alternative Income Generating Activities can help to reduce the economic reliance of coastal communities on fishing, potentially reducing pressure on fish stocks. Here we assess the local conditions which have enabled the creation of Alternative Income Generating Activities to fishing based on marine ecotourism in Moalboal, Philippines. Importantly, while marine ecotourism typically centers around charismatic megafauna, a combination of nearshore fringing reefs, the establishment of nearshore marine protected areas and the occurrence of a consistently large herring aggregation provide a large tourism draw to this community. Using a combination of regional and local economic statistics and stakeholder surveys, we implement an economic valuation of Moalboal marine ecotourism for 2018 and compare this valuation to an independent estimate of the extractive value of the herring aggregation. The Moalboal case indicates that a combination of strong community engagement in the governance of the ecotourism resource, a network of locally managed marine protected areas and the retention and distribution of economic benefits within the local community have led to a significant marine ecotourism sector. We contextualize these conditions into a set of potential enabling conditions for marine ecotourism as an Alternative Income Generating Activity to fishing to contribute insights to diversifying livelihood opportunities beyond extractive fishing for coastal communities in the tropics.",2021,,BIOLOGICAL CONSERVATION,261,,,WOS:000691802300013,10.1016/j.biocon.2021.109242,,#19221,Cusack 2021,,
A framework to assess the vulnerability of California commercial sea urchin fishermen to the impact of MPAs under climate change,"Chen, C; Lopez-Carr, D; Walker, BLE","This paper describes the development of a Livelihood Vulnerability Index (LVI) that estimates the relative ability of California commercial sea urchin fishermen to cope with the change associated with proposed marine protected areas. A key goal in establishing marine protected areas is to maximize conservation benefits while minimizing the potential negative impacts to local fishing communities. However, current impact analyses largely assume a linear relationship between percent of fishing area or revenue lost with the magnitude of impact to fishermen. The LVI described in this paper aims to provide an additional dimension to impact analyses in which the adaptive capacity of individual fishermen is examined to estimate the differential abilities of fishermen to cope with the loss of fishing areas or revenue. This paper advances vulnerability assessments as it develops a novel framework for identifying and measuring drivers of vulnerability for understudied fishing populations whose livelihoods depend upon marine resources. This vulnerability assessment is intended to inform the design of marine protected areas by enabling researchers to incorporate the adaptive capacity of fishermen into socioeconomic impact analyses. The LVI was developed for the California commercial sea urchin fishery in the context of proposed marine protected area networks develop through the California Marine Life Protected Act planning process. As climate change advances there is an increasing need to identify vulnerable and resilient populations and ways to bolster adaptive capacity given the environmental and economic changes ahead.",2014,,GEOJOURNAL,79,6,755-773,WOS:000210542500007,10.1007/s10708-014-9543-0,,#19222,Chen 2014,,
Low-quality management of Marine Protected Areas in the North-East Atlantic,"Alvarez-Fernandez, I; Freire, J; Sanchez-Carnero, N","The effectiveness of a marine protected area (MPA) requires adequate management plans (MgPs), good management performance and effective governance. This study diagnosed management quality on 126 MPAs and 57 MgPs in four countries in the NE Atlantic Ocean (France, England, Spain and Portugal) by adapting the MPA Management Effectiveness Assessment Tool to assess management quality, and management effort, strengths and weaknesses. Despite the fact that these MPAs were, in 2013, on average 14-year old, fewer than 30% showed sufficient management capacity, 18% showed operational management, and only 3% showed effective management. Therefore, 70% could be considered unmanaged or ""paper"" reserves. Among their strengths, MPAs were in general well legislated in the four countries and had operational management bodies in France and England. However three key factors need to be improved in all countries: (i) periodic MgP updated; (ii) periodic MPA monitoring and assessment; and (iii) education and communication activities. Enforcement should be improved in England, France and Portugal; Portugal and Spain also need to improve the management body and England and Portugal the community participation.",2020,,MARINE POLICY,117,,,WOS:000541263200021,10.1016/j.marpol.2020.103922,,#19226,Alvarez-Fernandez 2020,,REVIEW ARTICLE
