Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Pink sea fans (Eunicella verrucosa) as indicators of the spatial efficacy of Marine Protected Areas in southwest UK coastal waters,"Pikesley, SK; Godley, BJ; Latham, H; Richardson, PB; Robson, LM; Solandt, JL; Trundle, C; Wood, C; Witt, MJ","Globally, the need to identify and establish integrated and connected systems of Marine Protected Areas (MPAs) is becoming increasingly recognised. For best practice, these networks need to be planned and assessed against multiple criteria. However, building a sound evidence base to support decision-making processes is complex, as well as fiscally and logistically challenging. Recent studies have demonstrated the utility of integrating 'citizen science' data into mainstream scientific analysis, particularly where broad-scale spatial patterns of distribution are required. In UK waters, the pink sea fan (Eunicella verrucosa) is a nationally protected slow growing, cold-water coral, and is a representative species of reef features that provide habitat for many other sessile species. However, this species is vulnerable to physical impact and loss of suitable substratum, and is likely highly vulnerable to bottom-towed fishing gears. In this study, data from a volunteer-based marine survey programme ('Seasearch') are analysed with the aim of describing the spatial distribution and relative abundance of pink sea fan colonies throughout southwest UK coastal waters. The congruence between pink sea fans and the extant southern UK MPA network is reported, and the current threat from Bottom-Towed Gear (BTG) to pink sea fan dominated reefs, that have historically lacked protection, is quantitatively assessed. This analysis reveals that protection of this and other benthic species has been increased by management of previously 'open access' MPAs. Nonetheless, areas of pink sea fan habitat and their host reef systems exist outside extant protected areas in southwest UK seas, and as such are potentially at risk from bottom-towed fisheries. This analysis demonstrates the utility of well-organised citizen science data collection and highlights how such efforts can help inform knowledge on broad scale patterns of biodiversity. (C) 2015 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.orgilicensesiby/4.0/).",2016,,MARINE POLICY,64,,38-45,WOS:000369205000006,10.1016/j.marpol.2015.10.010,,#19213,Pikesley 2016,,
"Resting Dynamics and Diel Activity of the Green Turtle (Chelonia mydas) in Rapa Nui, Chile","Petit, IJ; Gonzalez, CF; Gusmao, JB; Alvarez-Varas, R; Hinojosa, IA","Understanding animals' daily activity patterns such as foraging and resting is key to the effective conservation of individuals, populations, and species. Expanding habitat usage by humans today is likely one of the major factors influencing animal habitat use and behavior. Rapa Nui, a remote Chilean island located at the easternmost corner of the Polynesian Triangle, hosts a population of green turtles, Chelonia mydas, that have been monitored by citizen scientists since 2010. Through the collaborative work of divers from the local community and professional scientists, we describe C. mydas daily underwater resting and foraging patterns in Rapa Nui. We identified 15 individuals by monitoring 19 specific resting locations within the Rapa Nui coral reef. A high level of spatial fidelity for specific resting sites was observed in 12 turtles that used the same location for as long as 5 yrs. Moreover, we observed a clear temporal pattern in the daily use of resting habitats, with 79% of resting activity occurring during low tide. In contrast, the daily peak in feeding activity was associated with high tides. Abiotic characteristics (depth and cardinal orientation) of resting sites did not show significant relationships. The information from this study will inform management of the Rapa Nui Multiple Uses Coastal Marine Protected Area to increase the protection of marine turtles residing at this isolated Pacific Island.",2020,,CHELONIAN CONSERVATION AND BIOLOGY,19,1,124-132,WOS:000552900600016,10.2744/CCB-1374.1,,#19214,Petit 2020,,
Community participation in assessment of fisheries related ecosystem services towards the establishment of marine protected area in the Greater Cape Three Points area in Ghana,"Sagoe, AA; Aheto, DW; Okyere, I; Adade, R; Odoi, J","Effective conservation management combines information obtained from formal scientific research with traditional knowledge derived from communities living within the ecosystem, in an integrated and comprehensive ecosystem assessment. To complement national efforts to establish Marine Protected Areas (MPAs) in critical coastal ecosystems to protect nursery areas and spawning grounds in Ghana, two communities in the Greater Cape Three Points area in the Western Region of Ghana were involved in a participatory mapping and assessment exercise as part of an ecosystem-based approach to the establishment of MPAs in the area. The paper presents the processes by which the communities were engaged in identifying and mapping out top five priority ecosystem services (ES) vital for fisheries-an important livelihood source in the area-valuing the prioritized ecosystem services, and identifying and assessing four main anthropogenic pressures threatening the continual provisioning of ecosystem services. The relevance of such community participatory assessment in policy formulation is also discussed in the paper. The paper demonstrates that the livelihoods of rural coastal communities are linked to broader ecosystem functioning. It also shows that when participatory mapping is complemented with perspectives from direct beneficiaries of ES, managers are afforded a holistic insight into the array of issues that feed into a comprehensive management approach which addresses social, economic and ecological concerns.",2021,,MARINE POLICY,124,,,WOS:000609164100006,10.1016/j.marpol.2020.104336,,#19223,Sagoe 2021,,
Collaborative Research: An Effective Way to Collect Data for Stock Assessments and Evaluate Marine Protected Areas in California,"Wendt, DE; Starr, RM","Collaborative fisheries research (in contrast to cooperative research) is based on the intellectual partnership between scientists and fishermen and is an effective way to collect data for stock assessments and to evaluate marine protected areas. Collaborative fisheries research is discussed in the context of co-management of marine resources and how it contributes to a more democratic form of fisheries management. Many benefits result from working together, including (1) the incorporation of fishers' knowledge and expertise into the management process and (2) the development of shared perspectives derived through science-based investigations on the status of marine resources. The California Collaborative Fisheries Research Program was formed in 2006 to participate in the monitoring of marine reserves established through California's Marine Life Protection Act. This program has shown that it can serve as a model for other areas that are trying to implement collaborative research and that collaborative research can greatly contribute to the realization of community-based co-management of marine resources.",2009,,MARINE AND COASTAL FISHERIES,1,1,315-324,WOS:000208152800024,10.1577/C08-054.1,,#19225,Wendt 2009,,
Finding the right fit: Comparative cetacean distribution models using multiple data sources and statistical approaches,"Derville, S; Torres, LG; Iovan, C; Garrigue, C","Aim: Accurate predictions of cetacean distributions are essential to their conservation but are limited by statistical challenges and a paucity of data. This study aimed at comparing the capacity of various statistical algorithms to deal with biases commonly found in nonsystematic cetacean surveys and to evaluate the potential for citizen science data to improve habitat modelling and predictions. An endangered population of humpback whales (Megaptera novaeangliae) in their breeding ground was used as a case study.Location: New Caledonia, Oceania.Methods: Five statistical algorithms were used to model the habitat preferences of humpback whales from 1,360 sightings collected over 14 years of nonsystematic research surveys. Three different background sampling approaches were tested when developing models from 625 crowdsourced sightings to assess methods accounting for citizen science spatial sampling bias. Model evaluation was conducted through cross-validation and prediction to an independent satellite tracking dataset.Results: Algorithms differed in complexity of the environmental relationships modelled, ecological interpretability and transferability. While parameter tuning had a great effect on model performances, GLMs generally had low predictive performance, SVMs were particularly hard to interpret, and BRTs had high descriptive power but showed signs of overfitting. MAXENT and especially GAMs provided a valuable complexity trade-off, accurate predictions and were ecologically intelligible. Models showed that humpback whales favoured cool (22-23 degrees C) and shallow waters (0-100 m deep) in coastal as well as offshore areas. Citizen science models converged with research survey models, specifically when accounting for spatial sampling bias.Main conclusions: Marine megafauna distribution models present specific challenges that may be addressed through integrative evaluation, independent testing and appropriately tuned statistical algorithms. Specifically, controlling overfitting is a priority when predicting cetacean distributions for large-scale conservation perspectives. Citizen science data appear to be a powerful tool to describe cetacean habitat.",2018,,DIVERSITY AND DISTRIBUTIONS,24,11,1657-1673,WOS:000448070600012,10.1111/ddi.12782,,#19228,Derville 2018,,
Tracking Marine Alien Macroalgae in the Mediterranean Sea: The Contribution of Citizen Science and Remote Sensing,"Mannino, AM; Borfecchia, F; Micheli, C","The accelerating rate of the introduction of non-indigenous species (NIS) and the magnitude of shipping traffic make the Mediterranean Sea a hotspot of biological invasions. For the effective management of NIS, early detection and intensive monitoring over time and space are essential. Here, we present an overview of possible applications of citizen science and remote sensing in monitoring alien seaweeds in the Mediterranean Sea. Citizen science activities, involving the public (e.g., tourists, fishermen, divers) in the collection of data, have great potential for monitoring NIS. The innovative methodologies, based on remote sensing techniques coupled with in situ/laboratory advanced sampling/analysis methods for tracking such species, may be useful and effective tools for easily assessing NIS distribution patterns and monitoring the space/time changes in habitats in order to support the sustainable management of the ecosystems. The reported case studies highlight how these cost-effective systems can be useful complementary tools for monitoring NIS, especially in marine protected areas, which, despite their fundamental role in the conservation of marine biodiversity, are not immune to the introduction of NIS. To ensure effective and long-lasting management strategies, collaborations between researchers, policy makers and citizens are essential.",2021,,JOURNAL OF MARINE SCIENCE AND ENGINEERING,9,3,,WOS:000633778900001,10.3390/jmse9030288,,#19238,Mannino 2021,,
A perception-based participatory monitoring and evaluation approach to foster effective co-management of the marine protected areas in Northwest Africa,"Thiao, D; Wesdund, L; Sambe, B; Diadhiou, HD; Deme, M; Mbenga, A; Diop, M","In Northwest Africa, the last two decades were characterized by the establishment of many marine protected areas (MPAs) that are considered to be major fisheries management tools. This politically motivated trend - to use for fisheries management a tool initially conceived for biodiversity conservation - emerged in a context of increasing degradation of the marine and coastal ecosystems combined with a generalized overexploitation of the main fish stocks in the Sub-Region. However, the commitment to promote MPAs neglected the necessity to regularly and effectively monitor and evaluate their effectiveness. Therefore, in 2013-2014 the Canary Current Large Marine Ecosystem (CCLME) project supported the development of an experimental participatory monitoring and evaluation (PM&E) approach for the Northwest African MPAs. This perception-based approach, which was implemented in two pilot MPAs in Senegal and Gambia, was then widely shared and discussed through several local meetings as well as in two regional and international workshops. This article aims to document the principles and outcomes of this experimental PM&E approach and also discuss its opportunities and challenges regarding to its potential adoption and use by MPA managers.",2019,,OCEAN & COASTAL MANAGEMENT,175,,16-Jan,WOS:000469154900001,10.1016/j.ocecoaman.2019.03.026,,#19240,Thiao 2019,,
Underwater trail: A tool for an integrated management of marine protected areas in the Western Mediterranean Basin,"Abbad, K; Semroud, R; Andreu-Boussut, V; Bengoufa, S","Marine protected areas (MPAs) are considered as a cornerstone for the protection of the marine heritage and promotion of the integrated management approach. They are also areas conducive to the development of environmental education, scientific research and tourism activities. Underwater trails (UWTs) as ecotourism activities are very popular in MPAs, combining discovery and environmental education.The objective of this paper is to highlight and to provide a deeper understanding on how marine ecotourism activity may contribute to the implementation of an integrated management of an MPA by taking as a case study the implementation of UWTs in Taza National Park (TNP) in Algeria. For this purpose, the methodology concerns a mixed-method (qualitative and quantitative) based on interviews, survey and document analysis of the implementation process of the UWTs. The main results were grouped into five (5) themes: stakeholders' engagement, management model of the UWT, capacity building, UWT as a management tool and legal framework.The obtained results have validated the hypothesis that these UWTs could contribute to the good governance of the future MPA, in particular by delegating their management to diving clubs, contributing to local stakeholders' capacity building, and improving the communication between them. The evaluation of the participatory process, also, underlines the lack of effective stakeholder engagement and the importance of developing a strategy to assess their commitment throughout the process. (C) 2021 Elsevier B.V. All rights reserved.",2022,,REGIONAL STUDIES IN MARINE SCIENCE,49,,,WOS:000731486400003,10.1016/j.rsma.2021.102095,,#19244,Abbad 2022,Ryan OConnor (2022-04-28 14:33:10)(Screen): Describes a possible assessment system - not an active one; ,Proposed
"Effectiveness of Marine Protected Areas in Managing the Drivers of Ecosystem Change: A Case of Mnazi Bay Marine Park, Tanzania","Machumu, ME; Yakupitiyage, A","Marine protected areas (MPAs) are being promoted in Tanzania to mitigate the drivers of ecosystem change such as overfishing and other anthropogenic impacts on marine resources. The effectiveness of MPAs in managing those drivers was assessed in three ecological zones, seafront, mangrove, and riverine of Mnazi Bay Marine Park, using Participatory Community Analysis techniques, questionnaire survey, checklist and fishery resource assessment methods. Eleven major drivers of ecosystem change were identified. Resource dependence had a major effect in all ecological zones of the park. The results indicated that the park's legislations/regulations, management procedures, and conservation efforts are reasonably effective in managing its resources. The positive signs accrued from conservation efforts have been realized by the communities in terms of increased catch/income, awareness and compliance. However, some natural and anthropogenic drivers continued to threaten the park's sustainability. Furthermore, implementation of resource use and benefit sharing mechanisms still remained a considerable challenge to be addressed.",2013,,AMBIO,42,3,369-380,WOS:000316740800009,10.1007/s13280-012-0352-8,,#19247,Machumu 2013,,
Many cameras make light work: opportunistic photographs of rare species in iNaturalist complement structured surveys of reef fish to better understand species richness,"Roberts, CJ; Verges, A; Callaghan, CT; Poore, AGB","Citizen science is on the rise, with growing numbers of initiatives, participants and increasing interest from the broader scientific community. iNaturalist is an example of a successful citizen science platform that enables users to opportunistically capture and share biodiversity observations. Understanding how data from such opportunistic citizen science platforms compare with and complement data from structured surveys will improve their use in future biodiversity research. We compared the opportunistic fish photographs from iNaturalist to those obtained from structured surveys at eight study reefs in Sydney, Australia over twelve years. iNaturalist recorded 1.2 to 5.5 times more fish species than structured surveys resulting in significantly greater annual species richness at half of the reefs, with the remainder showing no significant difference. iNaturalist likely recorded more species due to having simple methods, which allowed for broad participation with substantially more iNaturalist observation events (e.g., dives) than structured surveys over the same period. These results demonstrate the value of opportunistic citizen science platforms for documenting fish species richness, particularly where access and use of the marine environment is common and communities have the time and resources for expensive recreational activities (i.e., underwater photography). The datasets also recorded different species composition with iNaturalist recording many rare, less abundant, or cryptic species while the structured surveys captured many common and abundant species. These results suggest that integrating data from both opportunistic and structured data sources is likely to have the best outcome for future biodiversity monitoring and conservation activities.",,,BIODIVERSITY AND CONSERVATION,,,,WOS:000772259200003,10.1007/s10531-022-02398-6,,#19249,,,
The Reef Check Mediterranean Underwater Coastal Environment Monitoring Protocol,"Turicchia, E; Ponti, M; Rossi, G; Milanese, M; Di Camillo, CG; Cerrano, C","Since 2001, trained snorkelers, freedivers, and scuba diver volunteers (collectively called EcoDivers) have been recording data on the distribution, abundance, and bathymetric range of 43 selected key marine species along the Mediterranean Sea coasts using the Reef Check Mediterranean Underwater Coastal Environment Monitoring (RCMed U-CEM) protocol. The taxa, including algae, invertebrates, and fishes, were selected by a combination of criteria, including ease of identification and being a key indicator of shifts in the Mediterranean subtidal habitats due to local pressures and climate change. The dataset collected using the RCMed U-CEM protocol is openly accessible across different platforms and allows for various uses. It has proven to be useful for several purposes, such as monitoring the ecological status of Mediterranean coastal environments, assessing the effects of human impacts and management interventions, as well as complementing scientific papers on species distribution and abundance, distribution modeling, and historical series. Also, the commitment of volunteers promotes marine stewardship and environmental awareness in marine conservation. Here, we describe the RCMed U-CEM protocol from training volunteers to recording, delivering, and sharing data, including the quality assurance and control (QA/QC) procedures.",2021,,FRONTIERS IN MARINE SCIENCE,8,,,WOS:000693084800001,10.3389/fmars.2021.620368,,#19250,Turicchia 2021,,
"Participation, Process Quality, and Performance of Marine Protected Areas in the Wider Caribbean","Dalton, T; Forrester, G; Pollnac, R","Throughout the wider Caribbean, marine protected areas (MPAs) are rapidly gaining momentum as a conservation tool, but management performance of existing MPAs is considered low. To enhance MPA management performance, stakeholders are increasingly being invited to discuss, debate, and develop rules about how people should interact with marine ecosystems. Using social and ecological data from a rapid assessment of 31 MPAs and their associated communities in the wider Caribbean, this study investigates stakeholder participation in MPA planning and management, and how participants' views of process quality relate to MPA performance. Findings indicate that (1) participants tended to be male, resource users, participate in community organizations, and have lived fewer years in the community associated with an MPA than non-participants; (2) simply participating was not associated with perceptions of the social and ecological performance of MPAs, however, perceptions of process quality were positively related to views of performance; and (3) resource users' perceptions of an MPA's ecological performance were likely shaped by a variety of factors. Conservation practitioners should be aware that participatory MPA processes are complex and require careful planning if they are to contribute positively to marine conservation efforts.",2012,,ENVIRONMENTAL MANAGEMENT,49,6,1224-1237,WOS:000304623200010,10.1007/s00267-012-9855-0,,#19257,Dalton 2012,,
