Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Marine conservation in remote small island settings: Factors influencing marine protected area establishment in the Azores,"Abecasis, RC; Longnecker, N; Schmidt, L; Clifton, J","This paper examines the establishment of marine protected areas (MPAs) in remote small island settings with specific reference to the Portuguese island of Corvo in the Azores. This case study represents different approaches to marine conservation, ranging from an informal community-based no-take MPA to a government-driven multi-purpose natural park, involving diverse local and external actors interacting over an extended period of time. In-depth interviews were used to explore the perceptions of local and expert stakeholders about positive and negative aspects of MPA establishment. This demonstrated how differing approaches have led to varying degrees of MPA effectiveness. From the community-based MPA, several key ingredients for effective MPA establishment were identified, including engaging and empowering local communities, clear definition of goals, visible MPA outputs and community enforcement based on high levels of support and peer group pressure. However, in a context of complex marine resource use, the limitations of community-based initiatives prevent them from achieving broad ecosystem conservation goals. These might be better achieved through government-driven MPAs, provided that they are integrated in a wider regional marine strategy and that there is political will to effectively implement conservation measures and to allocate resources for management, enforcement and monitoring. (C) 2013 Elsevier Ltd. All rights reserved.",2013,,MARINE POLICY,40,,9-Jan,WOS:000317539200001,10.1016/j.marpol.2012.12.032,,#19285,Abecasis 2013,Exclusion reason: Wrong study design; Aadya Joshi (2022-05-02 08:07:21)(Screen): This paper talks about different MPA strategies in one area. ; ,
"Stakeholder Opinions on the Assessment of MPA Effectiveness and Their Interests to Participate at Pacific Rim National Park Reserve, Canada","Heck, N; Dearden, P; McDonald, A; Carver, S","As the number of marine protected areas (MPAs) is globally increasing, information is needed on the effectiveness of existing sites. Many protected area agencies however have limited resources and are unable to evaluate MPA effectiveness. An evaluation conducted entirely by the managing agency may also lack credibility. Long-term monitoring and evaluation programs should ideally offer opportunities for participation of diverse groups in the selection of evaluation indicators and their assessment. A participatory approach has the potential to enhance evaluation capacity, to increase credibility and acceptance of results, to strengthen relationships between managers and local stakeholders, and to address more locally relevant information. Using a case study approach, this paper investigates diverse stakeholder groups' opinions on the design of an evaluation and their interest to participate in an assessment. Respondents were most interested in the assessment of MPA achievements and outcome indicators. Most groups identified a range of government agencies and stakeholders that should participate in an assessment but only half of all respondents were interested to participate in monitoring activities. Most frequently mentioned limitations for more participation were a lack of time and money, but also governance shortcomings such as limited participation possibilities and not paying enough credit to stakeholders' input. Participation interest was also influenced by occupation, place of residency, and familiarity with the marine environment. Differences exist among stakeholders about suitable evaluators and preferred monitoring partners, which could affect the credibility of evaluation results and affect monitoring activities.",2011,,ENVIRONMENTAL MANAGEMENT,47,4,603-616,WOS:000289366400009,10.1007/s00267-010-9609-9,,#19289,Heck 2011,Exclusion reason: Wrong study design; ,
Restoration of Abundance and Dynamics of Coastal Fish and Lobster Within Northern Marine Protected Areas Across Two Decades,"Moland, E; Fernandez-Chacon, A; Sordalen, TK; Villegas-Rios, D; Thorbjornsen, SH; Halvorsen, KT; Huserbraten, M; Olsen, EM; Kleiven, PJN; Kleiven, AR; Knutsen, H; Espeland, SH; Freitas, C; Knutsen, JA","This article reviews a suite of studies conducted in a network of coastal Marine Protected Areas (MPAs) in Skagerrak, Southeast Norway. In 2006, Norway's first lobster reserves were implemented, with the aim of protecting European lobster (Homarus gammarus) through a ban on fixed gear. A before-after control-impact paired series (BACIPS) monitoring program was initiated to evaluate effects of protection on depleted lobster populations. Experimental trapping and capture-recapture techniques were combined to track demography of populations, also including movement of individuals within and beyond MPAs and adjacent control areas. Further, population genetics and parentage studies were applied, allowing for estimation of gene flow, and novel work on sexual selection in lobsters. Additional studies have evaluated MPA effects on coastal cod (Gadus morhua), and on commercially harvested labrids (Ctenolabrus rupestris and Symphodus melops) and anadromous brown trout (Salmo trutta). Together, these studies reported effects of protection pertaining to increased population density, survival, body size and phenotypic diversity, changes in emigration and interaction with surrounding fisheries, and alteration of selection pressure on morphological- and behavioral traits. Designation of MPAs in close collaboration with fishers and managers, long-term monitoring, inclusion of citizen science and evolving research protocols-also including fisheries data-have revealed novel effects of protection and harvesting on marine populations, thus providing substantial contributions to conservation science. Moreover, knowledge of MPA effects on coastal species has impacted harvest regulations showing the utility of MPAs as empirically documented management tools in Norway.",2021,,FRONTIERS IN MARINE SCIENCE,8,,,WOS:000677526300001,10.3389/fmars.2021.674756,,#19296,Moland 2021,Exclusion reason: Wrong study design; ,
A governance analysis of two marine protected areas in the Pacific Region of Guatemala: The Multiple Use Area of Monterrico and the Private Reserve La Chorrera-Manchon Guamuchal,"Gonzalez-Bernat, MJ; Clifton, J","This paper presents an analysis of key elements contributing towards current and future prospects for governance in two MPAs in the Pacific Region of Guatemala. The paper follows the Marine Protected Area Governance (MPAG) empirical framework through the use of economic, interpretative, knowledge, legal and participative incentives that assess the effectiveness of governance. The first MPA is the Multiple Use Area of Monterrico that is governed through a co-management approach by the Centre of Conservation Studies of the University of San Carlos de Guatemala (CECON-USAC), whilst the second is Guatemala's only privately-owned marine protected area, La Chorrera-Manchon Guamuchal Reserve. The results highlight that the differences in the way they are governed have significantly shaped the effectiveness of governance. In the case of Monterrico, the limited state capacity and cross-jurisdictional coordination among stakeholders has resulted in weak economic and legal incentives, where efforts have failed to develop the necessary participatory approach to management. As a result, environmental degradation and increasing urban development is apparent, which have proven difficult to manage by the park management authority. Conversely, La Chorrera-Manch on Guamuchal has developed a governance approach based on local community involvement, which has proven successful for conservation and management initiatives for the reserve. Management is characterized by strong leadership, which has proven to be the underlying difference in both MPAs. However, the fate of the reserve is uncertain, as there is no long-term planning for success. Future prospects for effective governance are recommended, where efforts should primarily foster state involvement and political will.",2021,,MARINE POLICY,127,,,WOS:000663338400012,10.1016/j.marpol.2019.103625,,#19297,Gonzalez-Bernat 2021,Exclusion reason: Wrong study design; ,
Evidence of economic benefits for public investment in MPAs,"Pascal, N; Brathwaite, A; Brander, L; Seidl, A; Philip, M; Clua, E","MPAs enhance some of the Ecosystem Services (ES) provided by coral reefs and clear, robust valuations of these impacts may help to improve stakeholder support and better inform decision-makers. Pursuant to this goal, Cost-Benefit Analyses (CBA) of MPAs in 2 different contexts were analysed: a community based MPA with low tourism pressure in Vanuatu, and a government managed MPA with relatively high tourism pressure, in Saint Martin. Assessments were made on six ES: fish biomass, scenic beauty, protection against coastal erosion, bequest and existence values, social capital and CO2 sequestration, which were quantified via different approaches that included experimental fishery, surveys and benefit transfer. Total operating costs for each MPA were collected and the benefit-cost ratio and return on investment based on 25-year discounted projections computed. Sensitivity analyses were conducted on MPA impacts, and discount rates (5%, 7% and 10%). The investment indicators all showed positive results with the impact on the tourism ES being the largest estimated for all MPAs, highlighting the importance of this relationship. The study also demonstrated a relatively high sensitivity of the results to different levels of impacts on ES, which highlights the need for reducing scientific knowledge gaps. (C) 2017 Elsevier B.V. All rights reserved.",2018,,ECOSYSTEM SERVICES,30,,13-Mar,WOS:000428532600003,10.1016/j.ecoser.2017.10.017,,#19301,Pascal 2018,Exclusion reason: Wrong study design; ,
The Role of Citizen Science in Monitoring Megafauna of the Red Sea,"Mancini, A; Elsadek, IM","Citizen science is an innovative approach that relies on non-specialists to monitor species and ecosystems over long time periods and vast geographical areas. Citizen science has been used extensively in marine science to monitor endangered species such as sharks and marine turtles, coral reefs and their associated fish species, marine mammals, invasive species and, more recently, coral bleaching and marine litter. Engaging people over the long term can be challenging but using social media, gamification, and emphasizing the value of volunteer contributions through data sharing, can help to keep communities motivated. In the Red Sea, there is enormous potential for using citizen science in monitoring endangered species and ecosystems due to the presence of a fleet of safari boats and dive centres going to sea daily. Engaging with this sector and creating long lasting partnerships for data collection through simple protocols could be a winning approach to obtain important information from remote areas and/or on rare species. In this chapter, we present the preliminary results of a citizen science program targeting marine turtles in their feeding grounds in the Egyptian Red Sea waters that was conducted from 2011 to 2013. During the study period 2,448 surveys were completed at 157 sites and included a total of 1,038 sightings of turtles. The most commonly observed species were hawksbill (Eretmochelys imbricata) and green (Chelonia mydas) turtles; however, rarer species, such as loggerhead (Caretta caretta) and olive ridley (Lepidochelys olivacea) turtles were also recorded. Among the sites that were monitored, some were considered as important for turtles (i.e., had a high probability of observing a turtle), while in others, turtles were not observed despite carrying out multiple surveys. Participants reported turtles of various sizes and ages with adults and sub-adults being the predominant observed age class. The presence of adults seemed to be related to the nesting season (May-September), which was also when the survey effort was higher. Adult male turtles were observed on various occasions, providing important input on their whereabouts during nesting and non-nesting seasons. Finally, participants detected behaviour that had not been previously described in the region, such as courting and mating. Results from TurtleWatch Egypt provided new insight in our knowledge of marine turtles in the Red Sea, especially from the largely under-studied feeding grounds.",2019,,OCEANOGRAPHIC AND BIOLOGICAL ASPECTS OF THE RED SEA,,,507-519,WOS:000482664300029,10.1007/978-3-319-99417-8_2810.1007/978-3-319-99417-8,,#19303,Mancini 2019,Exclusion reason: Not a peer-reviewed article; ,
"Integration process and stakeholders' interactions analysis around a protection project: Case of the National park of Gouraya, Algeria (South-western Mediterranean)","Boumaour, A; Grimes, S; Brigand, L; Larid, M","Among the most important instruments used for the protection of the Mediterranean marine environment, Marine Protected Areas (MPAs) have demonstrated their efficiency in the preservation of sensitive marine ecosystems and the sustainable management of their resources. In Algeria, only two sites are officially classified as ""Specially Protected Area of Mediterranean Importance"" and six others are in project, including the extension of the coastal National Park of Gouraya (NPG) to the marine area. This paper addresses the issue of stakeholder involvement in the governance process of high ecological coastal protected areas, highly coveted and exposed to the constraints related to the multiplicity of actors. This study is considered as an Integrated Coastal Zone Management (ICZM) mini-project based on the steps set out in the ICZM Mediterranean Protocol and inspired by the concept founded on ecosystem approach of problems by associating multiple stakeholders around a common project. The management process of the NPG and the involvement of actors were evaluated through direct interviews and a stakeholder analysis using the ""MACTOR"" method. Results indicate that the current management and the local context are not mature regarding the involvement of the actors. The challenge around issues of sustainable development, especially for civil society, is a relatively new and demanding matter. The human dimension is a top-priority aspect that the sustainable management of the Park and the marine area should be based upon.",2018,,OCEAN & COASTAL MANAGEMENT,153,,215-230,WOS:000424073400022,10.1016/j.ocecoaman.2017.12.031,,#19309,Boumaour 2018,Exclusion reason: Wrong study design; ,
"Linking social organization, attitudes, and stakeholder empowerment in MPA governance","de Oliveira, JGC; Campos-Silva, JV; Ladle, RJ; Batista, VD","The last two decades has seen a global trend in Marine Protected Area (MPA) management from top-down to more bottom-up approaches. Moreover, recent research suggests that evaluation of MPA performance should be participative, fully engaging multiple stakeholders, including local community representatives, in the assessment process. The effectiveness of such an approach to evaluation will be largely dependent on the stakeholders' level of awareness and knowledge of MPA governance principles, though this has rarely been systematically investigated. Here, we assess the capacity of diverse MPA stakeholders to evaluate their MPA using data from interviews with MPA managers, fishers, representatives of the local government and others. We used structured questionnaires to evaluate the level of consensus in attitudes among stakeholders from groups with different levels of social organization. We found that there was significantly low consensus among local community stakeholder groups and high among managers. Our findings also suggest that governance principles are holistically assessed on participative evaluations involving all main stakeholders involved. Based on our results, we propose a participative framework for governance assessment to facilitate the identification of convergence (consensus) and divergence (conflicts) among stakeholder groups.",2021,,MARINE POLICY,130,,,WOS:000670179900011,10.1016/j.marpol.2021.104543,,#19310,deOliveira 2021,Exclusion reason: Wrong study design; ,
Cost-Benefit Study of Marine Protected Areas: Implications on Financing and Institutional Needs,"Butardo-Toribio, MZ; Alino, PM; Guiang, ES","Six marine protected areas (MPAs) under various management arrangements were studied in the Philippines to estimate the costs and benefits of establishing MPAs and how these costs and benefits are shared on-site in order to gain insights on financing and institutional needs of MPAs. Data came from key informant interviews, focus group discussions, biophysical monitoring results and secondary sources. External financial and technical assistance, community volunteer labor, networking and partnerships played an important role in defraying the financial costs of the MPAs studied. Biophysical monitoring results provided inferential support to community anecdotes about improving fish catch and coral conditions as well as socio-economic and ecological benefits from MPA establishment. Establishing MPAs can have equity considerations in terms of sharing of costs and benefits as well as unintended effects on people's livelihood survival strategy which should be considered in the over-all MPA design. The study suggests the importance of networking and multisectoral collaboration, sustainable funding, incentives for community participation and linking MPA management to over-all good coastal resource governance.",2009,,PHILIPPINE AGRICULTURAL SCIENTIST,92,2,153-169,WOS:000268105100004,,,#19312,Butardo-Toribio 2009,Exclusion reason: Wrong study design; Kimberly Cheung (2022-07-08 15:25:45)(Select): Book or paper?; Kimberly Cheung (2022-07-08 15:25:26)(Select): Methods - 3rd group citizens; ,missing
Multi-Method Approach to Exploring Social-Ecological Dimensions in a Mediterranean Suburban Beach Setting,"Diedrich, A; Tintore, J","Research related to social-ecological systems may be enhanced through multi-method approaches to collecting interdisciplinary data and using combinations of analytical tools. In this article we combine different types of data (interval, ordinal, nominal, spatial), methods (participant observation, survey instrument), and analytical tools (IBM Statistical Package for the Social Sciences [SPSS] and Geographic Information Systems [GIS]) to identify management relevant linkages across social and ecological dimensions in a Mediterranean suburban beach setting. In particular, we demonstrate the central role of quantitative perception data for identifying pragmatic environmental management measures in coastal recreation scenarios.",2012,,COASTAL MANAGEMENT,40,3,301-311,WOS:000304486100007,10.1080/08920753.2012.677636,,#19315,Diedrich 2012,Exclusion reason: Wrong study design; ,missing
Integrating environmental education in marine protected areas management in Colombia,"Zorrilla-Pujana, J; Rossi, S","Environmental Education (EE) is a key component in any marine protected area management. However, its visibility and action plans are still poorly developed and structured as a clear element in management procedures. The objective of this study is to contribute with a methodological route that integrates EE to the existing model of management planning and strategies, taking the Colombian National Natural Parks System as a case study. The creation of the route is proposed as a participatory research with different stakeholders in order to respond to the specific conservation needs and goals for the National Parks System. The EE national diagnosis has shown that its integration within the parks management structure is a first priority need, being a converging result on the two case studies on National Parks from the Pacific Coast of Colombia. The diagnosis also demonstrates that communication, participation, training and evaluation have to be reinforced, linking the community and stakeholders involved in the park management to the whole EE process. The proposed methodology route has been agreed upon by the National Parks staff and incorporates advice and recommendations from different stakeholders, in order to better include the park users. This step will help us to advance toward sustainable management in marine and coastal protected areas elsewhere, taking into account not only the biological but also the social cultural prism. The main challenges in the management and conservation of coastal and marine ecosystems today are discussed. (C) 2014 Elsevier Ltd. All rights reserved.",2014,,OCEAN & COASTAL MANAGEMENT,93,,67-75,WOS:000336017700008,10.1016/j.ocecoaman.2014.03.006,,#19316,Zorrilla-Pujana 2014,Exclusion reason: Wrong study design; ,
Diving into science and conservation: recreational divers can monitor reef assemblages,"Vieira, EA; de Souza, LR; Longo, GO","Overfishing, pollution and global changes threaten reef ecosystems all over the world and several conservation actions emerged to reduce and mitigate such impacts. Citizen-based programs with hands-on conservation experience and voluntarily data collection are a successful way of involving society in the conservation process. We developed and tested a citizen-based monitoring protocol to monitor reef fish and sea turtles during regular recreational diving operations, with minimum impact on the routine of the diving company. We compared data collected by volunteer divers and by trained scientists using this protocol, and assessed the influence of the volunteersdiving experience in data collection. We found that recreational divers were able to record all the species included in the monitoring slate, providing estimates of species abundance and composition that did not differ from those obtained by trained scientific divers using the same protocol. This method also recorded large reef species, such as rays, sharks and turtles more effectively in comparison to traditional scientific surveys conducted in the same area. Such difference indicates complementarity between the citizen-based monitoring protocol and traditional scientific monitoring methods. The diving experience of recreational divers did not affect their ability to characterize reef assemblages and most volunteers provided a positive feedback of their experience as citizen-scientists. Therefore, recreational divers can be powerful citizen-scientists and implementing similar monitoring protocols in reef areas, particularly in marine protected areas where diving activities are allowed and regulated, seems feasible and a good way to engage divers in data collection and marine conservation. (C) 2019 Associacao Brasileira de Ciencia Ecologica e Conservacao. Published by Elsevier Editora Ltda.",2020,,PERSPECTIVES IN ECOLOGY AND CONSERVATION,18,1,51-59,WOS:000524750600007,10.1016/j.pecon.2019.12.001,,#19335,Vieira 2020,Exclusion reason: Wrong setting; ,OUTSIDE OF MPA; Proposed
